Rank,Player,RP
1,Twitch Misterosey1,111892
2,twitch.tv/crooklol,105526
3,Twitch.tv/EnemyApex,100635
4,Lilfredson,74844
5,Fearkingkilla on Twitch,63850
6,tttcheekyttt,60879
106,我不喜歡吃火鍋,35362
107,Ryuszen,35175
108,2c1m,35153
109,ciiro flop,35086
110,gutoeymungkai676767676767,34999
111,XECT KORON,34988
112,TWITCH kirumedayo,34954
113,BOF,34915
114,PAOGOD1,34896
115,Tyg_Ronin,34879
116,sydbigdayday,34825
117,neoist,34813
118,Elonmusk dick,34732
119,Noah,34662
120,AdamlsOnFire,34418
121,BillyBobJrGaming TTV on Twitch,34416
122,Electronic_Alex,34398
123,でっぴー,34301
124,- Empty name -,34300
125,Never Disappoint,34284
126,Twitch stepdonuu,34277
127,akuma,34241
128,- Empty name -,34236
129,duoyixue,34158
130,Colourmeblue,33994
131,johwny,33879
132,Twitch Fredstxr,33793
134,KentoBoss | YoutubeTikTok,33786
135,高能英雄Q区高手,33572
136,TAMECC-YOOU,33519
137,rea1odd,33471
139,ShizuYuri,33416
141,CKarma,33378
142,twitch.tv/Verrahh,33353
143,Leaves,33222
144,sdasfd,33149
145,Dom2Cracked,33132
146,cleaveee,33104
147,TOP5 plz,33100
148,wohenzhun,33023
149,CREAMYGIBBY,32993
150,- Empty name -,32938
151,Tsuki no yaya,32901
152,cndolys little horse,32793
153,fwBleusy,32768
154,MiRaGeTTV,32737
155,ST_KisKq,32717
156,FpsSuperhero,32652
157,FA_ProdigyAces,32555
158,twitch.tv/Swagfreak23,32550
159,コンニャク王子_Twitch,32548
160,oba,32474
161,XxxBoxx,32423
162,Fwadyy,32244
163,an unknown flyboy,32161
164,fize,32115
165,Wadadawan twitch,32045
166,tmick,32042
167,GundamAaa,31972
168,このゲームFPSでないからおもんない,31882
169,dyYuai,31856
170,43dudu,31825
171,MAJIN_Juh1s,31817
172,twitch.tv/excentis,31794
173,Zwitzs,31778
174,SE_Vortekx | Twitch,31771
175,WDS_,31701
176,VivetSampler,31680
177,@KamRyxq_v,31664
178,intoyou_3,31663
179,RobinFTW,31649
180,InpuT,31646
181,kitty kitty meow meow,31624
182,aspyre,31622
183,JiNGLiNGOvO,31603
184,MirageXII,31528
185,twitch.tv/tkaimz,31513
186,TheLastAlter,31452
187,- Empty name -,31437
188,Xu1tTAi,31410
189,FL izzxxv,31391
190,- Empty name -,31370
191,- Empty name -,31215
192,SWFT_HDShotTTV,31198
193,cnynanooz,31194
194,@Carltin_ | ttv,31143
195,uou,31128
196,I wanna be top 99 pred,31117
197,YKS_CheeZy,31106
198,Ollfrage,31105
199,NXR_AERO,31048
200,karashi0303,31032
201,Tao-w-,31029
202,我不是一万,30907
203,ILA VAYNEL,30876
204,Twitch flowistate,30867
205,KoWing,30840
206,vasjavas,30833
207,Fe1ZhaiLaoKa1_q,30823
208,Wellenreiter,30781
209,FLAK3SS,30737
210,twitch.tv/dda-w-,30709
211,N1ight1Mare,30651
212,KCP Cloaked,30637
213,anko's crushed cigarette,30581
214,Sasuke Uchiha,30567
215,JustinSuperGlide,30400
216,dudududu max verstappen,30333
217,UNPGRyoth,30261
218,@Ghati,30255
219,- Empty name -,30212
220,Twitch Hyzeq,30204
221,ともだちになれるかな,30179
222,- Empty name -,30146
223,Dutchimports,30059
224,Kerwin,30053
225,Splatyyyy,30051
227,twitch.tv/itzbreadnwater,30026
228,- Empty name -,30005
229,SGM_手把三(导到虚脱版）,30003
230,Twitch_,29994
231,JT5609[YT & TTV] Part Time Sweat,29991
232,tiktok.com/@zeusifylol,29977
233,Cumulonimbus,29974
234,- Empty name -,29941
235,Tiko,29906
236,foryxan,29861
