Loading labels from labels\labels_clean.csv (quality: {'noise', 'medium', 'high'})...
Dataset: 18282 total | 16455 train | 1827 val
Loading processor and model from models/trocr_apex...

Loading weights:   0%|          | 0/362 [00:00<?, ?it/s]
Loading weights: 100%|##########| 362/362 [00:00<00:00, 6848.18it/s]
Using device: cpu
  Epoch 1/10 | batch 102/2057 | loss 0.2134
  Epoch 1/10 | batch 204/2057 | loss 0.2075
  Epoch 1/10 | batch 306/2057 | loss 0.2012
  Epoch 1/10 | batch 408/2057 | loss 0.2009
  Epoch 1/10 | batch 510/2057 | loss 0.2034
  Epoch 1/10 | batch 612/2057 | loss 0.2024
  Epoch 1/10 | batch 714/2057 | loss 0.2008
  Epoch 1/10 | batch 816/2057 | loss 0.2005
  Epoch 1/10 | batch 918/2057 | loss 0.2012
  Epoch 1/10 | batch 1020/2057 | loss 0.2038
  Epoch 1/10 | batch 1122/2057 | loss 0.2066
  Epoch 1/10 | batch 1224/2057 | loss 0.2079
  Epoch 1/10 | batch 1326/2057 | loss 0.2134
  Epoch 1/10 | batch 1428/2057 | loss 0.2166
  Epoch 1/10 | batch 1530/2057 | loss 0.2197
  Epoch 1/10 | batch 1632/2057 | loss 0.2242
  Epoch 1/10 | batch 1734/2057 | loss 0.2296
  Epoch 1/10 | batch 1836/2057 | loss 0.2348
  Epoch 1/10 | batch 1938/2057 | loss 0.2386
  Epoch 1/10 | batch 2040/2057 | loss 0.2443
  Epoch 1/10 | batch 2057/2057 | loss 0.2444
Epoch 01/10 | loss=0.2444 | CER=0.1918

Writing model shards:   0%|          | 0/1 [00:00<?, ?it/s]
Writing model shards: 100%|##########| 1/1 [00:00<00:00,  2.82it/s]
Writing model shards: 100%|##########| 1/1 [00:00<00:00,  2.82it/s]
  [BEST] New best CER=0.1918 - model saved to models\trocr_apex
  Epoch 2/10 | batch 102/2057 | loss 0.3066
  Epoch 2/10 | batch 204/2057 | loss 0.3088
  Epoch 2/10 | batch 306/2057 | loss 0.3220
  Epoch 2/10 | batch 408/2057 | loss 0.3199
  Epoch 2/10 | batch 510/2057 | loss 0.3208
  Epoch 2/10 | batch 612/2057 | loss 0.3273
  Epoch 2/10 | batch 714/2057 | loss 0.3283
  Epoch 2/10 | batch 816/2057 | loss 0.3278
  Epoch 2/10 | batch 918/2057 | loss 0.3284
  Epoch 2/10 | batch 1020/2057 | loss 0.3304
  Epoch 2/10 | batch 1122/2057 | loss 0.3337
  Epoch 2/10 | batch 1224/2057 | loss 0.3353
  Epoch 2/10 | batch 1326/2057 | loss 0.3338
  Epoch 2/10 | batch 1428/2057 | loss 0.3334
  Epoch 2/10 | batch 1530/2057 | loss 0.3351
  Epoch 2/10 | batch 1632/2057 | loss 0.3357
  Epoch 2/10 | batch 1734/2057 | loss 0.3362
  Epoch 2/10 | batch 1836/2057 | loss 0.3364
  Epoch 2/10 | batch 1938/2057 | loss 0.3386
  Epoch 2/10 | batch 2040/2057 | loss 0.3406
  Epoch 2/10 | batch 2057/2057 | loss 0.3407
Epoch 02/10 | loss=0.3407 | CER=0.1792

Writing model shards:   0%|          | 0/1 [00:00<?, ?it/s]
Writing model shards: 100%|##########| 1/1 [00:00<00:00,  2.83it/s]
Writing model shards: 100%|##########| 1/1 [00:00<00:00,  2.83it/s]
  [BEST] New best CER=0.1792 - model saved to models\trocr_apex
  Epoch 3/10 | batch 102/2057 | loss 0.3172
  Epoch 3/10 | batch 204/2057 | loss 0.3088
  Epoch 3/10 | batch 306/2057 | loss 0.3041
  Epoch 3/10 | batch 408/2057 | loss 0.2995
  Epoch 3/10 | batch 510/2057 | loss 0.3031
  Epoch 3/10 | batch 612/2057 | loss 0.3040
  Epoch 3/10 | batch 714/2057 | loss 0.3030
  Epoch 3/10 | batch 816/2057 | loss 0.3046
  Epoch 3/10 | batch 918/2057 | loss 0.3028
  Epoch 3/10 | batch 1020/2057 | loss 0.3051
  Epoch 3/10 | batch 1122/2057 | loss 0.3037
  Epoch 3/10 | batch 1224/2057 | loss 0.3024
  Epoch 3/10 | batch 1326/2057 | loss 0.3046
  Epoch 3/10 | batch 1428/2057 | loss 0.3065
  Epoch 3/10 | batch 1530/2057 | loss 0.3067
  Epoch 3/10 | batch 1632/2057 | loss 0.3087
  Epoch 3/10 | batch 1734/2057 | loss 0.3093
  Epoch 3/10 | batch 1836/2057 | loss 0.3101
  Epoch 3/10 | batch 1938/2057 | loss 0.3108
  Epoch 3/10 | batch 2040/2057 | loss 0.3100
  Epoch 3/10 | batch 2057/2057 | loss 0.3099
Epoch 03/10 | loss=0.3099 | CER=0.1820
  Epoch 4/10 | batch 102/2057 | loss 0.2508
  Epoch 4/10 | batch 204/2057 | loss 0.2513
  Epoch 4/10 | batch 306/2057 | loss 0.2541
  Epoch 4/10 | batch 408/2057 | loss 0.2622
  Epoch 4/10 | batch 510/2057 | loss 0.2550
  Epoch 4/10 | batch 612/2057 | loss 0.2643
  Epoch 4/10 | batch 714/2057 | loss 0.2685
  Epoch 4/10 | batch 816/2057 | loss 0.2706
  Epoch 4/10 | batch 918/2057 | loss 0.2702
  Epoch 4/10 | batch 1020/2057 | loss 0.2736
  Epoch 4/10 | batch 1122/2057 | loss 0.2742
  Epoch 4/10 | batch 1224/2057 | loss 0.2730
  Epoch 4/10 | batch 1326/2057 | loss 0.2731
  Epoch 4/10 | batch 1428/2057 | loss 0.2747
  Epoch 4/10 | batch 1530/2057 | loss 0.2725
  Epoch 4/10 | batch 1632/2057 | loss 0.2721
  Epoch 4/10 | batch 1734/2057 | loss 0.2717
  Epoch 4/10 | batch 1836/2057 | loss 0.2706
  Epoch 4/10 | batch 1938/2057 | loss 0.2707
  Epoch 4/10 | batch 2040/2057 | loss 0.2708
  Epoch 4/10 | batch 2057/2057 | loss 0.2704
Epoch 04/10 | loss=0.2704 | CER=0.1721

Writing model shards:   0%|          | 0/1 [00:00<?, ?it/s]
Writing model shards: 100%|##########| 1/1 [00:00<00:00,  2.69it/s]
Writing model shards: 100%|##########| 1/1 [00:00<00:00,  2.69it/s]
  [BEST] New best CER=0.1721 - model saved to models\trocr_apex
  Epoch 5/10 | batch 102/2057 | loss 0.2491
  Epoch 5/10 | batch 204/2057 | loss 0.2307
  Epoch 5/10 | batch 306/2057 | loss 0.2268
  Epoch 5/10 | batch 408/2057 | loss 0.2284
  Epoch 5/10 | batch 510/2057 | loss 0.2246
  Epoch 5/10 | batch 612/2057 | loss 0.2225
  Epoch 5/10 | batch 714/2057 | loss 0.2223
  Epoch 5/10 | batch 816/2057 | loss 0.2247
  Epoch 5/10 | batch 918/2057 | loss 0.2263
  Epoch 5/10 | batch 1020/2057 | loss 0.2254
  Epoch 5/10 | batch 1122/2057 | loss 0.2271
  Epoch 5/10 | batch 1224/2057 | loss 0.2265
  Epoch 5/10 | batch 1326/2057 | loss 0.2259
  Epoch 5/10 | batch 1428/2057 | loss 0.2261
  Epoch 5/10 | batch 1530/2057 | loss 0.2261
  Epoch 5/10 | batch 1632/2057 | loss 0.2253
  Epoch 5/10 | batch 1734/2057 | loss 0.2275
  Epoch 5/10 | batch 1836/2057 | loss 0.2273
  Epoch 5/10 | batch 1938/2057 | loss 0.2275
  Epoch 5/10 | batch 2040/2057 | loss 0.2282
  Epoch 5/10 | batch 2057/2057 | loss 0.2283
